id,First_Date,Last_Date,Year,Month,DayOfWeek,IsWeekend,Season,Quarter,Title,Artists,Chart_Weeks,Chart_Longevity_Days,Best_Rank,Days_In_Charts,Weeks_Per_Day_Ratio,Quick_Peak_Score,Sustained_Presence,Brief_Appearance,Month_Sin,Month_Cos,DayOfWeek_Sin,DayOfWeek_Cos,Season_Fall,Season_Spring,Season_Summer,Season_Winter,Temporal_Cluster,Temporal_Cluster_Name
0Bv7O6fmZk3GrNQFYJaXPn,2022-01-26,2022-05-07,2022,5,5,1,Spring,2,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA",714,101,51,101,7.0,0.2097902097902098,1,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,False,True,False,False,3,Recent Era (2022-2023) - Sustained Success
0BwO44CBPFWxAIO5ZbPf3N,2020-05-22,2020-05-30,2020,5,5,1,Spring,2,Roadrunner,Bonez MC,9,8,79,8,1.0,12.2,0,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,False,True,False,False,1,Spring - Friday Fresh
0C6bsQq58Ue1XfL5PKTO6D,2020-02-14,2020-02-14,2020,2,4,0,Winter,1,Verkackt,"Gzuz, Bonez MC",2,0,166,0,2.0,11.666666666666666,0,1,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,False,False,False,True,2,Viral/Quick Peak - Winter
0C6dSPCqwKqwos6s1CrDrh,2022-10-21,2022-10-21,2022,10,4,0,Fall,4,The Car,Arctic Monkeys,1,0,129,0,1.0,36.0,0,1,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0C7RxcoJUdt0EDtQLuOFc6,2017-06-03,2017-06-04,2017,6,6,1,Summer,2,Strangers,"Halsey, Lauren Jauregui",4,1,94,1,2.0,21.4,0,0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,False,False,True,False,5,Early Era (2017-2018) - Summer
0CBFOvHlyqy30Q5tbyNHfQ,2018-09-07,2018-10-17,2018,10,2,0,Fall,4,Want To,Dua Lipa,35,40,107,40,0.8536585365853658,2.611111111111111,1,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0CBQ0m3mufWH75LTYB3s6h,2018-09-28,2018-10-18,2018,10,3,0,Fall,4,Let It Fly (feat. Travis Scott),Lil Wayne,21,20,4,20,1.0,8.954545454545455,1,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0CLnkxpa3M4eA3HeGaERat,2017-10-20,2017-10-24,2017,10,1,0,Fall,4,Gorgeous,Taylor Swift,5,4,7,4,1.0,32.333333333333336,0,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0CYDYDMUwyFYEBMWfbxozX,2017-07-21,2017-07-22,2017,7,5,1,Summer,3,Cherry,Lana Del Rey,2,1,103,1,1.0,32.666666666666664,0,1,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,False,False,True,False,5,Early Era (2017-2018) - Summer
0CYTGMBYkwUxrj1MWDLrC5,2022-12-17,2023-05-29,2023,5,0,0,Spring,2,CHORRITO PA LAS ANIMAS,Feid,160,163,40,163,0.975609756097561,1.0,1,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,False,True,False,False,1,Spring - Friday Fresh
0CZ8lquoTX2Dkg7Ak2inwA,2018-03-13,2018-07-03,2018,7,1,0,Summer,3,1950,King Princess,110,112,54,112,0.9734513274336283,1.3243243243243243,1,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,False,False,True,False,5,Early Era (2017-2018) - Summer
0CcQNd8CINkwQfe1RDtGV6,2017-02-02,2018-02-21,2018,2,2,0,Winter,1,Believer,Imagine Dragons,349,384,15,384,0.9064935064935065,0.5314285714285715,1,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,False,False,False,True,2,Viral/Quick Peak - Winter
0CfPMZ1DSdzglsMRpLDM2H,2021-01-08,2021-01-08,2021,1,4,0,Winter,1,Only Thing That's Gone (feat. Chris Stapleton),Morgan Wallen,1,0,199,0,1.0,1.0,0,1,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,False,False,False,True,2,Viral/Quick Peak - Winter
0CfmNX2TXk7yoJqHJiixnp,2018-04-06,2018-04-13,2018,4,4,0,Spring,2,She Bad,"Cardi B, YG",16,7,107,7,2.0,5.529411764705882,1,0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,False,True,False,False,1,Spring - Friday Fresh
0Clb9aiXWa0dvVff5aN4VN,2017-08-25,2017-09-30,2017,9,5,1,Fall,3,Think Before I Talk,Astrid S,29,36,159,36,0.7837837837837838,1.4,1,0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0CokSRCu5hZgPxcZBaEzVE,2017-09-22,2018-03-15,2018,3,3,0,Spring,1,Glorious (feat. Skylar Grey),Macklemore,171,174,13,174,0.9771428571428571,1.0930232558139534,1,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,False,True,False,False,1,Spring - Friday Fresh
0CrcwVLUe8wzLUIXgjXVZJ,2023-04-14,2023-04-28,2023,4,4,0,Spring,2,Kill Bill (feat. Doja Cat),"SZA, Doja Cat",30,14,32,14,2.0,5.451612903225806,1,0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,False,True,False,False,1,Spring - Friday Fresh
0CsR9Y9SnC6ZWmekmVqSHz,2021-06-25,2021-06-28,2021,6,0,0,Summer,2,ked,Doja Cat,4,3,77,3,1.0,24.8,0,0,1.2246467991473532e-16,-1.0,0.0,1.0,False,False,True,False,5,Early Era (2017-2018) - Summer
0CtZpaOhtzvLV3FfcsVpQo,2022-12-26,2023-02-12,2023,2,6,1,Winter,1,"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Vishal Dadlani, Shekhar Ravjiani, Kumaar",108,48,117,48,2.204081632653061,0.7706422018348624,1,0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,False,False,False,True,2,Viral/Quick Peak - Winter
0D4GpOPInKiPxEfQMchu4p,2020-06-27,2020-07-05,2020,7,6,1,Summer,3,Karaoke,"Boomdabash, Alessandra Amoroso",14,8,162,8,1.5555555555555556,2.6,1,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,False,False,True,False,5,Early Era (2017-2018) - Summer
0D4yVl9Pn45xW2s63MFCmT,2018-10-19,2018-10-19,2018,10,4,0,Fall,4,It's Not Living (If It's Not With You),The 1975,1,0,146,0,1.0,27.5,0,1,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0D5CXSUx8GOCHSY8KWgi9h,2018-03-09,2018-03-16,2018,3,4,0,Spring,1,Yuck,Logic,8,7,50,7,1.0,16.77777777777778,0,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,False,True,False,False,1,Spring - Friday Fresh
0D75ciM842cdUMKSMfAR9y,2021-01-29,2021-03-11,2021,3,3,0,Spring,1,Baila Conmigo (with Rauw Alejandro),Selena Gomez,42,41,17,41,1.0,4.27906976744186,1,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,False,True,False,False,1,Spring - Friday Fresh
0D8ZpOXVjapLXrjz5VfZSD,2017-10-06,2017-11-02,2017,11,3,0,Fall,4,Pray,Sam Smith,27,27,40,27,0.9642857142857143,5.75,1,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0DAQryfUiFZdWFo76RYBc8,2021-02-19,2021-02-25,2021,2,3,0,Winter,1,Madon,"Bausa, Apache 207",14,6,66,6,2.0,9.0,1,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,False,False,False,True,2,Viral/Quick Peak - Winter
0DGTcMqvVR7fmBXgiG6jz4,2022-03-25,2022-04-06,2022,4,2,0,Spring,2,Just A Cloud Away,Pharrell Williams,13,12,86,12,1.0,8.214285714285714,1,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,False,True,False,False,1,Spring - Friday Fresh
0DJBgBiYeSn6n1AXAkFVE8,2018-02-09,2018-02-26,2018,2,0,0,Winter,1,I Am,Jorja Smith,16,17,62,17,0.8888888888888888,8.176470588235293,1,0,0.8660254037844386,0.5000000000000001,0.0,1.0,False,False,False,True,2,Viral/Quick Peak - Winter
0DMVrlMUn01M0IcpDbwgu7,2021-11-12,2021-11-16,2021,11,1,0,Fall,4,Girl At Home (Taylor's Version),Taylor Swift,5,4,59,4,1.0,23.666666666666668,0,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0DUHmrwC8ZviGGC2o2JBy1,2020-11-13,2020-11-13,2020,11,4,0,Fall,4,Sleeping On The Floor,"Future, Lil Uzi Vert",2,0,96,0,2.0,35.0,0,1,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0DWdj2oZMBFSzRsi2Cvfzf,2023-02-24,2023-05-29,2023,5,0,0,Spring,2,TQG,"KAROL G, Shakira",190,94,1,94,2.0,1.0471204188481675,1,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,False,True,False,False,1,Spring - Friday Fresh
0DXytBddBKZYbfDMP4X0kc,2018-11-15,2018-11-15,2018,11,3,0,Fall,4,Rêves bizarres (feat. Damso),Orelsan,1,0,160,0,1.0,20.5,0,1,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0DYNL4xbYWgNzppUamtyR4,2020-11-06,2020-11-07,2020,11,5,1,Fall,4,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",The Kid LAROI,2,1,159,1,1.0,14.0,0,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
