Artist (Ind.),total_chart_appearances,average_rank,best_rank,career_start,career_end,career_length_days,top_50_hits,top_50_rate
Callie Herndez,3,181.33333333333334,165,2017-01-30,2017-02-27,28,0.0,0.0
Calum Scott,566,81.65017667844523,17,2017-01-01,2023-01-27,2217,277.0,0.48939929328621906
Calvin Harris,3164,96.92699115044248,1,2017-01-01,2023-05-29,2339,951.0,0.30056890012642223
Cameron Seely,1,191.0,191,2018-01-08,2018-01-08,0,0.0,0.0
Camila Cabello,3539,82.97767730997457,1,2017-05-19,2023-01-11,2063,1308.0,0.36959593105397004
Camilo,1665,101.2042042042042,23,2018-11-10,2021-12-04,1120,361.0,0.2168168168168168
Capital Bra,383,127.67362924281984,26,2018-04-27,2021-04-16,1085,21.0,0.05483028720626632
Capo,4,144.0,104,2018-09-21,2018-09-24,3,0.0,0.0
Capo Plaza,7,178.42857142857142,72,2018-04-20,2022-01-07,1358,0.0,0.0
Captain Cuts,39,157.02564102564102,125,2019-01-14,2019-02-21,38,0.0,0.0
Caralisa Monteiro,18,172.88888888888889,117,2022-12-26,2023-02-12,48,0.0,0.0
Cardi B,2601,80.52479815455594,1,2017-07-29,2022-12-16,1966,938.0,0.3606305267204921
Carge,6,168.33333333333334,153,2018-01-20,2018-01-25,5,0.0,0.0
Carin Leon,156,67.62179487179488,30,2022-01-01,2023-05-29,513,33.0,0.21153846153846154
Carla Morrison,3,149.66666666666666,110,2023-02-24,2023-02-27,3,0.0,0.0
Carlos Santana,6,160.5,138,2019-10-25,2019-10-30,5,0.0,0.0
Carlos Vives,386,118.89119170984456,57,2017-01-01,2018-04-07,461,0.0,0.0
Carly Rae Jepsen,1,166.0,166,2018-11-02,2018-11-02,0,0.0,0.0
Carol Richards,2,166.0,140,2021-12-25,2022-12-25,365,0.0,0.0
Carolina Gaitán - La Gaita,134,41.55223880597015,7,2021-12-26,2022-05-08,133,97.0,0.7238805970149254
Carpenters,20,142.15,90,2017-12-24,2022-12-25,1827,0.0,0.0
Cartel De Santa,79,82.39240506329114,10,2023-03-05,2023-05-27,83,27.0,0.34177215189873417
Cash Cash,44,133.4090909090909,105,2017-07-20,2017-09-05,47,0.0,0.0
Cashmere Cat,154,115.31818181818181,61,2017-01-01,2018-03-21,444,0.0,0.0
Casper Magico,437,79.3913043478261,7,2018-04-14,2021-05-22,1134,199.0,0.45537757437070936
Cauty,15,188.0,172,2019-02-16,2019-03-23,35,0.0,0.0
Cazzu,411,99.97810218978103,15,2018-03-18,2019-12-07,629,109.0,0.26520681265206814
Cedric Gervais,12,184.33333333333334,174,2017-01-01,2017-01-21,20,0.0,0.0
Central Cee,324,82.3641975308642,12,2021-09-10,2023-04-01,568,139.0,0.42901234567901236
Chad Smith,1,184.0,184,2021-06-25,2021-06-25,0,0.0,0.0
Chael Produciendo,20,182.05,162,2020-07-18,2020-08-16,29,0.0,0.0
Chance the Rapper,476,115.11764705882354,2,2017-01-01,2020-05-28,1243,109.0,0.22899159663865545
Chanel,5,147.0,85,2022-05-15,2022-05-19,4,0.0,0.0
Charli XCX,163,144.23312883435582,23,2017-07-28,2022-07-07,1805,3.0,0.018404907975460124
Charlie Charles,9,126.55555555555556,46,2018-05-04,2019-04-26,357,1.0,0.1111111111111111
Charlie Puth,1646,87.47083839611179,3,2017-01-01,2023-05-29,2339,593.0,0.3602673147023086
Charly Black,99,155.8989898989899,114,2017-01-01,2017-04-29,118,0.0,0.0
Chase Atlantic,57,131.52631578947367,101,2021-06-25,2022-03-21,269,0.0,0.0
Cheat Codes,627,106.16267942583733,24,2017-01-01,2018-09-05,612,172.0,0.2743221690590112
Chefin,55,120.47272727272727,72,2022-01-19,2022-03-26,66,0.0,0.0
Chelsea Cutler,35,130.54285714285714,44,2019-05-24,2019-06-27,34,1.0,0.02857142857142857
Chencho Corleone,1600,77.748125,2,2019-02-16,2023-05-29,1563,632.0,0.395
Cherish,281,73.62277580071175,6,2021-10-30,2022-12-31,427,150.0,0.5338078291814946
Childish Gambino,706,104.18838526912181,1,2017-01-01,2022-10-03,2101,150.0,0.21246458923512748
Chimbala,159,112.27672955974843,55,2021-06-07,2021-11-13,159,0.0,0.0
Chino & Nacho,89,160.07865168539325,107,2017-01-01,2017-04-22,111,0.0,0.0
Chino Pacas,139,74.93525179856115,21,2023-02-12,2023-05-29,106,38.0,0.2733812949640288
Chlöe,50,123.54,87,2021-09-10,2022-01-07,119,0.0,0.0
ChocQuibTown,64,163.625,122,2019-02-15,2019-04-30,74,0.0,0.0
Chris Brown,1540,82.86623376623376,6,2017-01-04,2023-05-29,2336,521.0,0.3383116883116883
Chris Cornell,1,187.0,187,2017-05-18,2017-05-18,0,0.0,0.0
Chris Jedi,532,96.43984962406014,44,2017-04-07,2022-10-15,2017,31.0,0.05827067669172932
Chris King,1,193.0,193,2019-11-22,2019-11-22,0,0.0,0.0
Chris Nolan,1,198.0,198,2020-06-05,2020-06-05,0,0.0,0.0
Chris Rea,177,72.27118644067797,8,2017-12-01,2022-12-26,1851,56.0,0.3163841807909605
Chris Willis,12,184.33333333333334,174,2017-01-01,2017-01-21,20,0.0,0.0
Christi Aguilera,10,127.1,100,2018-05-04,2019-12-25,600,0.0,0.0
Christi Perri,6,162.0,131,2017-02-14,2021-02-14,1461,0.0,0.0
Christian Chávez,9,158.66666666666666,110,2020-09-04,2020-09-04,0,0.0,0.0
Christian Daniel,130,151.98461538461538,120,2017-08-03,2018-01-13,163,0.0,0.0
Christian Nodal,357,119.75070028011204,4,2019-11-06,2022-06-12,949,68.0,0.19047619047619047
Christina Aguilera,2,131.0,125,2021-12-24,2021-12-25,1,0.0,0.0
Christine and the Queens,1,182.0,182,2019-07-19,2019-07-19,0,0.0,0.0
Christopher von Uckermann,9,158.66666666666666,110,2020-09-04,2020-09-04,0,0.0,0.0
Chuck Berry,189,129.93650793650792,27,2017-03-19,2022-12-26,2108,18.0,0.09523809523809523
Chuck D,2,122.0,82,2017-05-05,2017-05-06,1,0.0,0.0
Cian Ducrot,3,177.66666666666666,167,2023-01-06,2023-01-10,4,0.0,0.0
Cigarettes After Sex,321,134.41744548286604,81,2022-07-03,2023-05-29,330,0.0,0.0
Clairo,148,111.21621621621621,44,2020-09-30,2021-03-10,161,8.0,0.05405405405405406
Clean Bandit,1458,81.93964334705075,3,2017-01-01,2021-01-29,1489,578.0,0.39643347050754457
Cliff Richard,7,125.85714285714286,96,2017-12-24,2022-12-25,1827,0.0,0.0
Clinton Kane,93,98.50537634408602,68,2021-02-19,2021-11-29,283,0.0,0.0
Clipse,12,76.83333333333333,14,2019-10-25,2019-11-05,11,6.0,0.5
Clueso,8,153.125,112,2020-07-24,2020-07-31,7,0.0,0.0
Cochise,86,151.15116279069767,100,2021-05-28,2021-08-26,90,0.0,0.0
CocoRosie,1,198.0,198,2019-07-27,2019-07-27,0,0.0,0.0
Coely,1,183.0,183,2017-08-04,2017-08-04,0,0.0,0.0
Coez,1,185.0,185,2019-01-11,2019-01-11,0,0.0,0.0
Coi Leray,183,70.19672131147541,19,2023-01-18,2023-05-29,131,71.0,0.3879781420765027
Colapesce,7,153.0,116,2021-03-07,2021-03-14,7,0.0,0.0
Colby O'Donis,1,171.0,171,2022-12-31,2022-12-31,0,0.0,0.0
Colde,6,133.0,84,2022-12-02,2023-05-08,157,0.0,0.0
Coldplay,3493,125.03664471800744,2,2017-01-01,2023-05-29,2339,493.0,0.14113942170054394
Colin Hay,88,117.61363636363636,66,2022-01-14,2022-04-23,99,0.0,0.0
Conan Gray,1148,124.63153310104529,11,2019-12-27,2023-05-01,1221,163.0,0.14198606271777003
Conkarah,81,107.65432098765432,60,2020-06-12,2020-08-31,80,0.0,0.0
Connie Constance,1,147.0,147,2022-04-15,2022-04-15,0,0.0,0.0
Coolio,499,160.7815631262525,11,2021-08-30,2023-05-27,635,5.0,0.01002004008016032
Cordae,10,172.9,106,2019-07-26,2023-04-07,1351,0.0,0.0
Cornelia Jakobs,2,132.0,105,2022-03-13,2022-05-15,63,0.0,0.0
Cosculluela,209,120.77511961722487,61,2017-01-28,2020-09-05,1316,0.0,0.0
Costa Gold,4,183.0,159,2021-08-14,2021-08-28,14,0.0,0.0
Craig David,1,165.0,165,2017-11-24,2017-11-24,0,0.0,0.0
Creedence Clearwater Revival,4,174.75,159,2021-07-04,2023-05-21,686,0.0,0.0
Cris Mj,399,79.64912280701755,6,2022-02-21,2023-04-09,412,170.0,0.42606516290726815
Crissin,165,80.89696969696969,31,2021-05-10,2021-10-16,159,39.0,0.23636363636363636
Crush,8,127.875,58,2022-09-22,2022-09-29,7,0.0,0.0
Cruz Cafuné,102,94.93137254901961,51,2022-01-26,2022-05-07,101,0.0,0.0
Cults,7,192.14285714285714,184,2022-10-24,2023-01-18,86,0.0,0.0
Curren$y,2,121.5,66,2020-06-02,2020-06-03,1,0.0,0.0
Curtis Waters,125,98.136,66,2020-06-20,2020-10-22,124,0.0,0.0
CÉLINE,8,167.375,116,2020-06-12,2020-06-20,8,0.0,0.0
Céline Dion,10,139.1,98,2018-12-24,2022-12-25,1462,0.0,0.0
DAISY WORLD,6,103.33333333333333,54,2021-06-25,2021-06-27,2,0.0,0.0
DDG,23,180.34782608695653,154,2020-10-26,2020-11-19,24,0.0,0.0
DENNIS,19,171.57894736842104,140,2018-12-28,2019-03-03,65,0.0,0.0
DG e Batidão Stronda,2,173.5,166,2022-02-26,2022-02-27,1,0.0,0.0
DJ 2F,13,176.0,139,2019-09-28,2019-11-09,42,0.0,0.0
DJ A1,7,132.28571428571428,124,2018-03-13,2018-03-19,6,0.0,0.0
DJ Ak beats,2,182.0,176,2023-02-11,2023-02-18,7,0.0,0.0
DJ Bel da CDD,7,164.85714285714286,149,2022-04-16,2022-05-08,22,0.0,0.0
DJ Biel do Furduncinho,47,162.27659574468086,96,2022-04-16,2022-09-10,147,0.0,0.0
DJ Dahi,3,101.66666666666667,73,2021-01-29,2022-07-08,525,0.0,0.0
DJ Drama,6,53.333333333333336,20,2021-06-25,2021-06-27,2,2.0,0.3333333333333333
DJ Durel,1,196.0,196,2018-07-28,2018-07-28,0,0.0,0.0
DJ ESCOBAR,73,111.08219178082192,50,2022-11-11,2023-01-29,79,1.0,0.0136986301369863
DJ Gege,23,151.34782608695653,61,2021-11-06,2022-01-02,57,0.0,0.0
DJ Henrique da VK,2,176.5,161,2020-02-22,2020-02-23,1,0.0,0.0
DJ Ivis,151,125.19867549668874,45,2021-01-28,2021-07-11,164,3.0,0.019867549668874173
DJ Jazzy Jeff & The Fresh Prince,1,191.0,191,2018-10-31,2018-10-31,0,0.0,0.0
DJ Jeeh FDC,14,169.78571428571428,117,2023-01-14,2023-02-18,35,0.0,0.0
DJ Jonathan,9,180.55555555555554,165,2017-08-12,2017-08-20,8,0.0,0.0
DJ KOSTA 22,2,191.0,185,2021-07-10,2021-07-11,1,0.0,0.0
DJ Kaioken,23,151.34782608695653,61,2021-11-06,2022-01-02,57,0.0,0.0
DJ Khaled,1435,87.01602787456446,2,2017-02-15,2023-02-14,2190,550.0,0.3832752613240418
DJ Lucas Beat,63,122.80952380952381,58,2021-01-01,2021-06-13,163,0.0,0.0
DJ Luian,1158,96.30569948186529,19,2017-08-16,2023-05-15,2098,203.0,0.17530224525043178
DJ Matt D,39,153.89743589743588,88,2021-12-30,2022-02-27,59,0.0,0.0
DJ Nelson,287,73.88153310104529,19,2020-06-23,2021-10-02,466,136.0,0.4738675958188153
DJ Nikolas Alves Exclusive,23,151.34782608695653,61,2021-11-06,2022-01-02,57,0.0,0.0
DJ PH DA SERRA,50,143.82,83,2021-09-10,2021-11-13,64,0.0,0.0
DJ Patrick Muniz,64,146.75,75,2021-10-09,2022-01-01,84,0.0,0.0
DJ RD,10,166.5,135,2018-04-28,2019-09-14,504,0.0,0.0
DJ Robin,24,114.91666666666667,35,2022-06-18,2022-08-06,49,2.0,0.08333333333333333
DJ Snake,1249,86.25780624499599,1,2017-01-01,2021-12-02,1796,427.0,0.3418734987990392
DJ SpinKing,61,143.40983606557376,50,2018-05-27,2018-12-03,190,2.0,0.03278688524590164
DMX,13,89.92307692307692,22,2021-04-09,2021-04-14,5,3.0,0.23076923076923078
DNCE,144,163.64583333333334,53,2017-01-01,2022-02-25,1881,0.0,0.0
DUSTY LOCANE,2,188.5,183,2021-02-26,2021-03-09,11,0.0,0.0
DVBBS,54,122.25925925925925,93,2017-01-02,2017-02-25,54,0.0,0.0
DaBaby,2019,90.18722139673106,1,2019-04-25,2023-01-14,1360,591.0,0.29271916790490343
DaChoyce,2,159.0,156,2022-02-06,2022-02-07,1,0.0,0.0
Daddy Yankee,4881,97.4458102847777,1,2017-01-01,2023-02-04,2225,1173.0,0.24031960663798402
Dadá Boladão,33,164.78787878787878,107,2019-10-19,2020-01-01,74,0.0,0.0
Daft Punk,1445,98.13771626297577,1,2017-01-01,2023-05-29,2339,393.0,0.27197231833910035
Dagny,29,170.31034482758622,115,2018-04-20,2018-05-23,33,0.0,0.0
Dakota,61,159.2295081967213,94,2017-01-01,2017-03-18,76,0.0,0.0
Dala,1,192.0,192,2021-03-05,2021-03-05,0,0.0,0.0
Dalex,1595,109.91159874608151,15,2019-03-02,2022-04-09,1134,175.0,0.109717868338558
Dalmata,164,127.34756097560975,86,2017-10-28,2018-04-14,168,0.0,0.0
Damian Lemar Hudson,18,158.22222222222223,103,2017-04-14,2017-05-12,28,0.0,0.0
Damso,45,132.2888888888889,53,2017-12-01,2021-12-03,1463,0.0,0.0
Dan + Shay,414,101.14492753623189,5,2018-03-28,2021-02-14,1054,86.0,0.20772946859903382
Dan Paola,22,178.1818181818182,151,2020-07-17,2022-08-24,768,0.0,0.0
Danelle Sandoval,199,100.45226130653266,53,2017-02-11,2017-12-31,323,0.0,0.0
Dani Faiv,16,150.875,97,2019-07-05,2019-07-22,17,0.0,0.0
Daniel Caesar,261,109.272030651341,48,2019-06-28,2023-04-20,1392,3.0,0.011494252873563218
Daniel Everidge,41,165.2439024390244,126,2018-01-03,2018-02-19,47,0.0,0.0
Danny Ocean,935,90.78823529411764,18,2017-02-17,2022-11-04,2086,311.0,0.332620320855615
DannyLux,95,127.97894736842105,87,2021-09-05,2022-05-06,243,0.0,0.0
Dante Klein,27,173.1851851851852,152,2017-01-01,2017-01-28,27,0.0,0.0
Dardan,6,158.0,95,2019-04-08,2020-03-20,347,0.0,0.0
Darell,1338,88.31689088191331,4,2018-04-14,2021-07-15,1188,467.0,0.34902840059790735
Dargen D'Amico,2,170.5,147,2022-02-06,2022-02-07,1,0.0,0.0
Dark Polo Gang,2,171.0,154,2018-05-11,2020-05-08,728,0.0,0.0
Darlene Love,101,111.58415841584159,20,2017-12-24,2022-12-26,1828,10.0,0.09900990099009901
Daryl Hall & John Oates,102,118.8529411764706,25,2017-12-10,2022-12-26,1842,12.0,0.11764705882352941
Data Luv,8,151.125,109,2019-06-28,2019-07-05,7,0.0,0.0
Dave,87,88.70114942528735,42,2021-07-09,2022-05-11,306,18.0,0.20689655172413793
Dave Stewart,6,146.33333333333334,85,2017-12-31,2022-10-31,1765,0.0,0.0
Davi Kneip,55,115.25454545454545,35,2022-03-19,2022-06-04,77,3.0,0.05454545454545454
David Bowie,356,151.36516853932585,50,2018-11-01,2021-06-05,947,1.0,0.0028089887640449437
David Guetta,2714,92.93662490788505,1,2017-01-01,2023-05-29,2339,759.0,0.2796610169491525
David Kushner,52,22.153846153846153,4,2022-01-07,2023-05-29,507,46.0,0.8846153846153846
Daya,69,151.79710144927537,111,2017-10-19,2019-04-18,546,0.0,0.0
Dayvi,86,139.06976744186048,91,2019-07-14,2020-01-01,171,0.0,0.0
Daði Freyr,4,127.5,87,2021-05-23,2021-05-26,3,0.0,0.0
De La Ghetto,290,125.67241379310344,32,2017-10-21,2022-11-04,1840,17.0,0.05862068965517241
Dean Lewis,956,116.92468619246861,12,2018-07-22,2023-02-06,1660,201.0,0.2102510460251046
Dean Martin,234,86.23931623931624,8,2017-12-24,2022-12-26,1828,75.0,0.32051282051282054
Death Cab for Cutie,5,133.8,71,2019-07-26,2019-07-30,4,0.0,0.0
Dedublüman,8,181.625,163,2022-09-27,2022-10-04,7,0.0,0.0
Demi Lovato,1060,90.95849056603774,5,2017-07-11,2022-08-22,1868,338.0,0.31886792452830187
Dennis Lloyd,260,64.37692307692308,17,2018-03-12,2019-02-28,353,152.0,0.5846153846153846
Dermot Kennedy,60,137.4,87,2019-02-19,2021-07-30,892,0.0,0.0
Desiigner,197,153.2944162436548,59,2017-01-01,2017-07-20,200,0.0,0.0
Destiny,1,125.0,125,2021-05-23,2021-05-23,0,0.0,0.0
Destiny's Child,9,164.33333333333334,116,2017-12-24,2021-12-25,1462,0.0,0.0
Devi Sri Prasad,1,196.0,196,2022-01-23,2022-01-23,0,0.0,0.0
Devin Dawson,2,143.0,121,2018-12-24,2018-12-25,1,0.0,0.0
Diane Guerrero,188,63.47872340425532,7,2021-12-26,2022-05-08,133,97.0,0.5159574468085106
Diddy,3,88.0,66,2018-06-16,2018-06-18,2,0.0,0.0
Dido,59,170.5084745762712,112,2022-02-14,2022-05-19,94,0.0,0.0
Diego & Victor Hugo,56,128.33928571428572,71,2021-01-23,2023-01-01,708,0.0,0.0
Digital Farm Animals,195,100.61025641025641,52,2017-10-27,2021-01-20,1181,0.0,0.0
Dilsinho,62,142.46774193548387,79,2020-09-26,2022-01-01,462,0.0,0.0
Dimartino,7,153.0,116,2021-03-07,2021-03-14,7,0.0,0.0
Dimitri Vegas,184,132.57065217391303,75,2017-07-28,2019-11-06,831,0.0,0.0
Dimitri Vegas & Like Mike,184,132.57065217391303,75,2017-07-28,2019-11-06,831,0.0,0.0
Dina Rae,226,154.1769911504425,93,2022-09-29,2023-05-29,242,0.0,0.0
Diodato,3,124.33333333333333,94,2020-02-09,2020-02-11,2,0.0,0.0
Diplo,893,115.49272116461366,13,2017-11-17,2020-10-01,1049,101.0,0.11310190369540873
Disclosure,202,73.56435643564356,16,2019-02-08,2020-08-28,567,65.0,0.3217821782178218
Dixie,2,195.0,193,2020-07-06,2020-07-09,3,0.0,0.0
Dj Adoni,15,170.13333333333333,147,2021-10-01,2021-10-31,30,0.0,0.0
Dj Aurélio,11,177.1818181818182,143,2022-12-30,2023-01-22,23,0.0,0.0
Dj Chris No Beat,44,142.54545454545453,68,2022-07-09,2022-09-17,70,0.0,0.0
Dj GBR,48,135.89583333333334,70,2021-04-10,2021-06-13,64,0.0,0.0
Dj Gabriel do Borel,55,115.25454545454545,35,2022-03-19,2022-06-04,77,3.0,0.05454545454545454
Dj Guuga,91,116.81318681318682,45,2021-04-17,2022-03-19,336,3.0,0.03296703296703297
Dj Kass,21,128.95238095238096,88,2018-01-29,2018-02-18,20,0.0,0.0
Dj LK da Escócia,29,162.93103448275863,65,2022-12-06,2023-01-08,33,0.0,0.0
Dj Lv Mdp,50,143.82,83,2021-09-10,2021-11-13,64,0.0,0.0
Dj Olliver,64,146.75,75,2021-10-09,2022-01-01,84,0.0,0.0
Dj Serpinha,1,186.0,186,2022-02-26,2022-02-26,0,0.0,0.0
Dj TG Beats,11,177.1818181818182,143,2022-12-30,2023-01-22,23,0.0,0.0
Dj Tk,3,165.66666666666666,151,2022-08-05,2022-08-13,8,0.0,0.0
Dj Win,25,164.64,106,2022-06-30,2022-07-30,30,0.0,0.0
Dj Yo!,98,109.11224489795919,40,2021-12-21,2022-04-02,102,9.0,0.09183673469387756
Doja Cat,4092,78.80791788856305,2,2019-11-08,2023-04-28,1267,1818.0,0.4442815249266862
Dolly Parton,4,132.0,101,2020-03-21,2022-12-25,1009,0.0,0.0
Dominic Fike,349,121.53295128939828,46,2019-01-28,2022-03-09,1136,3.0,0.008595988538681949
Domo Genesis,6,77.0,40,2021-06-25,2021-06-27,2,2.0,0.3333333333333333
Don Omar,263,150.99619771863118,11,2017-01-07,2023-05-29,2333,7.0,0.026615969581749048
Don Patricio,14,186.78571428571428,154,2019-03-09,2019-04-13,35,0.0,0.0
Don Q,1,187.0,187,2020-07-03,2020-07-03,0,0.0,0.0
Don Toliver,648,110.0354938271605,14,2019-12-01,2023-05-29,1275,90.0,0.1388888888888889
Donna Summer,2,130.5,89,2020-09-18,2020-09-19,1,0.0,0.0
Donny Hathaway,14,105.85714285714286,45,2018-12-24,2022-12-25,1462,1.0,0.07142857142857142
Doode,2,189.5,186,2021-10-01,2021-10-02,1,0.0,0.0
Dopamine,50,147.86,17,2021-12-22,2022-04-29,128,1.0,0.02
Douglas & Vinicius,6,175.16666666666666,125,2020-11-01,2021-01-09,69,0.0,0.0
Dove Cameron,214,87.90186915887851,11,2022-02-11,2022-09-29,230,84.0,0.3925233644859813
Dr. Dre,126,111.72222222222223,12,2022-02-07,2022-05-27,109,17.0,0.1349206349206349
Drake,9983,94.4993488931183,1,2017-01-01,2023-05-29,2339,2952.0,0.29570269458078735
Dream,6,146.83333333333334,88,2021-05-21,2021-08-22,93,0.0,0.0
Dreamville,41,130.1951219512195,53,2019-06-13,2022-04-01,1023,0.0,0.0
Drew Love,106,97.89622641509433,46,2017-12-15,2018-08-02,230,1.0,0.009433962264150943
DripReport,138,84.67391304347827,32,2020-03-15,2020-08-02,140,30.0,0.21739130434782608
Dua Lipa,7107,81.88349514563107,2,2017-01-01,2023-05-29,2339,2663.0,0.3747009990150556
Duckwrth,9,139.33333333333334,89,2019-11-11,2019-11-19,8,0.0,0.0
Duke & Jones,2,195.0,194,2022-06-18,2022-06-19,1,0.0,0.0
Duki,593,125.60033726812816,3,2018-03-18,2023-04-09,1848,22.0,0.03709949409780776
Dulce María,9,158.66666666666666,110,2020-09-04,2020-09-04,0,0.0,0.0
Duncan Laurence,405,100.81975308641975,14,2019-05-17,2022-03-16,1034,107.0,0.2641975308641975
Dxrk ãƒ€ãƒ¼ã‚¯,4,183.5,173,2022-09-10,2022-09-18,8,0.0,0.0
Dylan,1,199.0,199,2022-01-07,2022-01-07,0,0.0,0.0
Dylan Conrique,3,193.33333333333334,187,2022-04-04,2022-04-20,16,0.0,0.0
Dynoro,465,78.04086021505377,4,2018-07-04,2020-01-04,549,191.0,0.410752688172043
Dyo,76,95.57894736842105,51,2017-01-01,2017-03-18,76,0.0,0.0
Dzeko,267,82.09737827715355,11,2018-05-18,2019-02-23,281,115.0,0.4307116104868914
Dímelo Flow,664,101.69728915662651,19,2019-09-02,2022-04-09,950,165.0,0.24849397590361447
EL IMA,102,94.93137254901961,51,2022-01-26,2022-05-07,101,0.0,0.0
ELIF,3,180.0,159,2020-01-24,2020-01-31,7,0.0,0.0
ENHYPEN,59,151.6271186440678,35,2021-04-26,2023-05-29,763,1.0,0.01694915254237288
EST Gee,2,105.5,65,2022-04-29,2022-04-30,1,0.0,0.0
EXO,7,161.71428571428572,114,2017-07-19,2021-06-08,1420,0.0,0.0
Eagles,30,136.86666666666667,37,2017-12-24,2022-12-26,1828,1.0,0.03333333333333333
Earth,43,140.93023255813952,50,2017-09-21,2022-12-31,1927,1.0,0.023255813953488372
Eartha Kitt,116,137.18965517241378,30,2017-12-03,2022-12-25,1848,9.0,0.07758620689655173
Ed Maverick,4,169.0,128,2021-02-26,2021-03-02,4,0.0,0.0
Ed Sheeran,12837,104.13297499415751,1,2017-01-01,2023-05-29,2339,3010.0,0.2344784606995404
Eden Muñoz,100,120.69,46,2022-03-03,2023-05-29,452,2.0,0.02
Edgardo Nuñez,12,187.5,149,2023-01-12,2023-02-05,24,0.0,0.0
Edison Lighthouse,36,130.41666666666666,96,2022-01-02,2022-02-07,36,0.0,0.0
Efendi,1,156.0,156,2021-05-23,2021-05-23,0,0.0,0.0
Eiffel 65,6,112.16666666666667,48,2020-03-26,2020-03-31,5,1.0,0.16666666666666666
El Alfa,310,124.21612903225807,39,2020-05-09,2022-03-25,685,31.0,0.1
El Chacal,175,123.61714285714285,72,2017-01-01,2017-07-08,188,0.0,0.0
El Chachito,66,159.34848484848484,110,2023-02-03,2023-05-27,113,0.0,0.0
El Guincho,322,77.45341614906832,28,2019-03-29,2020-02-22,330,162.0,0.5031055900621118
El Padrinito Toys,4,194.75,189,2023-01-29,2023-03-25,55,0.0,0.0
El Profesor,4,174.5,166,2018-07-21,2018-08-04,14,0.0,0.0
ElGrandeToto,22,117.18181818181819,86,2021-09-13,2021-10-04,21,0.0,0.0
Eladio Carrion,129,80.14728682170542,9,2021-06-10,2023-05-29,718,53.0,0.4108527131782946
Elams,69,128.40579710144928,85,2020-08-18,2020-10-25,68,0.0,0.0
Electric Light Orchestra,3,189.0,182,2017-05-08,2017-05-10,2,0.0,0.0
Elena Tsagrinou,3,142.66666666666666,110,2021-05-23,2021-05-25,2,0.0,0.0
Eleni Foureira,5,150.4,115,2018-05-13,2018-05-17,4,0.0,0.0
Elisa,5,138.2,88,2022-02-03,2022-02-07,4,0.0,0.0
Eliza Rose,80,100.8,48,2022-09-03,2022-12-31,119,3.0,0.0375
Ella Eyre,167,126.21556886227545,74,2017-06-09,2018-09-07,455,0.0,0.0
Ella Fitzgerald,27,114.55555555555556,67,2018-12-24,2022-12-25,1462,0.0,0.0
Ella Henderson,118,164.1949152542373,94,2020-12-24,2022-09-03,618,0.0,0.0
Ella Mai,138,123.6304347826087,56,2018-06-16,2018-11-26,163,0.0,0.0
Elley Duhé,574,81.05749128919861,9,2018-07-20,2023-02-06,1662,243.0,0.42334494773519166
Ellie Goulding,875,97.45942857142857,17,2017-02-14,2023-05-29,2295,148.0,0.16914285714285715
Elton John,921,59.85667752442997,2,2017-12-09,2023-05-29,1997,472.0,0.512486427795874
Elvis Presley,149,130.81879194630872,21,2017-12-02,2022-12-26,1850,12.0,0.08053691275167785
ElyOtto,83,96.90361445783132,50,2021-02-20,2021-05-17,86,3.0,0.03614457831325301
Em Beihold,273,58.523809523809526,6,2022-01-31,2023-05-29,483,169.0,0.6190476190476191
Emani 22,1,141.0,141,2018-11-09,2018-11-09,0,0.0,0.0
Emilia,26,164.53846153846155,137,2021-07-20,2023-04-08,627,0.0,0.0
Emily Warren,93,131.34408602150538,58,2017-01-01,2017-04-20,109,0.0,0.0
Eminem,5475,129.0082191780822,1,2017-01-01,2023-05-29,2339,779.0,0.14228310502283106
Emma Stone,33,157.78787878787878,74,2017-01-16,2017-03-02,45,0.0,0.0
Emmy Meli,88,98.7840909090909,45,2021-11-23,2022-03-09,106,8.0,0.09090909090909091
En Vogue,1,176.0,176,2019-07-27,2019-07-27,0,0.0,0.0
Eno,35,135.42857142857142,52,2019-02-08,2020-01-24,350,0.0,0.0
Enrique Iglesias,427,85.97189695550351,22,2017-01-01,2018-06-09,524,168.0,0.39344262295081966
Era Istrefi,63,121.53968253968254,71,2018-05-25,2018-08-02,69,0.0,0.0
Eric Church,5,128.0,52,2023-03-03,2023-03-07,4,0.0,0.0
Eric Land,1,187.0,187,2021-01-01,2021-01-01,0,0.0,0.0
Erica Banks,11,192.63636363636363,184,2021-01-15,2021-02-02,18,0.0,0.0
Eros Ramazzotti,1,198.0,198,2023-05-25,2023-05-25,0,0.0,0.0
Erykah Badu,2,102.0,48,2022-12-02,2022-12-03,1,1.0,0.5
Eslabon Armado,171,74.5906432748538,1,2021-09-05,2023-05-29,631,74.0,0.4327485380116959
Esprit Ange Andraos,1,183.0,183,2020-12-18,2020-12-18,0,0.0,0.0
Eurythmics,6,146.33333333333334,85,2017-12-31,2022-10-31,1765,0.0,0.0
Evaluna Montaner,143,110.87412587412588,35,2020-04-12,2021-12-04,601,14.0,0.0979020979020979
Evan Rachel Wood,8,165.375,121,2019-11-25,2019-12-04,9,0.0,0.0
Evlay,2,192.5,186,2020-07-27,2020-07-28,1,0.0,0.0
Ezhel,40,173.45,131,2019-10-01,2022-08-11,1045,0.0,0.0
FAST BOY,13,187.46153846153845,135,2022-11-11,2023-01-25,75,0.0,0.0
